title,description,variations,pricePerVariation,stockPerVariation,imageUrls
212 - Carolina Herrera,"""Genero: Dama ; Usos recomendados: Diario / Oficina / Verano ; Familia: Floral ; Subfamilia(s): Floral amaderado ; Descripción: 🌸 212 es fresca, elegante y moderna. Con flores blancas y notas verdes, transmite limpieza y energía para usar todos los días. ; Metadata: 212 Woman es una fragancia floral–verde con flor de azahar, gardenia, almizcle blanco y sándalo. Representa espontaneidad y elegancia urbana, ideal para día, oficina o clima cálido. Su estela es suave, limpia y femenina. Palabras clave: 212 woman, carolina herrera, floral, verde, limpio, fresco, diario, elegante, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMT99OTO329CM.png
Aventus - Creed,"""Genero: Caballero ; Usos recomendados: Oficina / Formal / Noche ; Familia: Chipre ; Subfamilia(s): Chipre frutal ; Descripción: 👑 Aventus es elegante, potente y distinguido. Con piña, abedul y almizcle, proyecta éxito, sofisticación y confianza. ; Metadata: Aventus es una fragancia chipre–frutal con piña, grosella negra, abedul, pachulí y almizcle. Representa liderazgo y refinamiento, ideal para uso diario elegante o eventos formales. Su estela es refinada, masculina y duradera. Palabras clave: aventus, creed, piña, abedul, almizcle, frutal, elegante, sofisticado, clásico, masculino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTPMRAVRBTMG.png
Baccarat Rouge 540 - Maison Francis Kurkdjian,"""Genero: Unisex ; Usos recomendados: Noche / Citas / Invierno ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental gourmand ; Descripción: ✨ Baccarat Rouge 540 es cristalina y envolvente: ámbar aireado con jazmín y madera dulce. Sofisticación que deja estela. ; Metadata: Ámbar–floral amaderada con jazmín y azafrán; base de ámbar gris/ambroxan y cedro. ADN aéreo, dulce–mineral de gran proyección y fijación. Perfecta para día/noche, eventos y clima templado. Palabras clave: baccarat rouge 540, mfk, ámbar, ambroxan, jazmín, azafrán, elegante, unisex, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTQLYDVH41UT.png
Bad Boy - Carolina Herrera,"""Genero: Caballero ; Usos recomendados: Noche / Fiesta / Invierno ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental especiado ; Descripción: ⚡ Bad Boy combina dulzura, cacao y especias. Es moderno y seductor, ideal para noches o citas. ; Metadata: Fragancia oriental especiada, con pimienta negra, cacao, haba tonka y cedro. Transmite rebeldía y elegancia moderna, perfecta para noches, eventos o climas fríos. Palabras clave: bad boy, carolina herrera, cacao, haba tonka, especiado, cálido, moderno, masculino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTRFLLNT6331.png
Bade'e Al Oud Amethyst - Lattafa,"""Genero: Unisex ; Usos recomendados: Noche / Formal / Invierno ; Familia: Oriental / Ámbar ; Subfamilia(s): Amaderado oud ; Descripción: 💜 Bade’e Al Oud Amethyst es dulce, floral y elegante. Con rosa, oud y vainilla, equilibra fuerza y delicadeza. ; Metadata: Bade’e Al Oud Amethyst es una fragancia floral–oriental con rosa, azafrán, oud, vainilla y ámbar. Combina intensidad y elegancia, ideal para noches, otoño o invierno. Palabras clave: bade’e al oud amethyst, lattafa, rosa, oud, vainilla, floral, cálido, elegante, unisex, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTUDIEI8QWVO.png
Bade'e Al Oud Honor & Glory - Lattafa,"""Genero: Unisex ; Usos recomendados: Formal / Noche / Invierno ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental especiado ; Descripción: ⚜️ Bade’e Al Oud Honor & Glory es cálida, gourmand y sofisticada. Con piña, canela y vainilla, tiene una dulzura elegante y cremosa. ; Metadata: Bade’e Al Oud Honor & Glory es una fragancia gourmand–oriental con piña, canela, vainilla, toffee, incienso y oud suave. Evoca lujo moderno con un toque árabe distintivo, ideal para noches y climas fríos. Palabras clave: bade’e al oud honor & glory, lattafa, piña, vainilla, toffee, gourmand, cálido, dulce, unisex, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTSL7HAVBK6A.png
Bade’e Al Oud Noble Blush - Lattafa,"""Genero: Dama ; Usos recomendados: Noche / Invierno / Citas ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental especiado ; Descripción: 🌸 Bade’e Al Oud Noble Blush es floral, elegante y delicada. Con rosa, almizcle y vainilla, transmite feminidad suave y sofisticación árabe. ; Metadata: Bade’e Al Oud Noble Blush es una fragancia floral–almizclada oriental con rosa, peonía, vainilla, azafrán y almizcle blanco. Evoca pureza, ternura y elegancia refinada, ideal para día o eventos. Palabras clave: bade’e al oud noble blush, lattafa, rosa, vainilla, almizcle, floral, elegante, suave, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,
Bade'e Al Oud Sublime - Lattafa,"""Genero: Unisex ; Usos recomendados: Noche / Invierno / Citas ; Familia: Oriental / Ámbar ; Subfamilia(s): Amaderado especiado ; Descripción: 🕯 Bade’e Al Oud Sublime es elegante, resinosa y moderna. Con jazmín, vainilla y oud cremoso, transmite lujo y equilibrio. ; Metadata: Bade’e Al Oud Sublime es una fragancia oriental–floral ambarada con jazmín, rosa, vainilla, oud y ámbar. Tiene un perfil dulce, amaderado y sofisticado, ideal para día o noche. Palabras clave: bade’e al oud sublime, lattafa, jazmín, vainilla, oud, floral, cálido, elegante, unisex, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTXLYSK9JHOA.png
Black Opium Glitter - Yves Saint Laurent,"""Genero: Dama ; Usos recomendados: Noche / Fiesta / Citas ; Familia: Gourmand ; Subfamilia(s): Oriental avainillado ; Descripción: ✨ Black Opium Glitter es moderna, adictiva y glamorosa. Con café, cereza y vainilla, es dulce y magnética. ; Metadata: Black Opium Glitter Edition es una fragancia gourmand–floral con café, cereza, jazmín, vainilla y almizcle. Representa energía y sensualidad intensa, ideal para noche o invierno. Palabras clave: black opium glitter, yves saint laurent, café, cereza, vainilla, floral, dulce, cálido, moderno, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTZ2UKB4KVIL.png
Black Opium Over Red - Yves Saint Laurent,"""Genero: Dama ; Usos recomendados: Noche / Fiesta / Citas ; Familia: Gourmand ; Subfamilia(s): Oriental avainillado ; Descripción: 🔥 Black Opium Over Red es sensual, intensa y moderna. Con cereza, café y vainilla, es dulce, cálida y seductora. ; Metadata: Black Opium Over Red es una fragancia gourmand–floral con cereza negra, café, vainilla, jazmín y azahar. Transmite pasión y confianza, ideal para noche, citas o invierno. Palabras clave: black opium over red, yves saint laurent, cereza, café, vainilla, dulce, cálido, intenso, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMTZW77I218OB.png
Bleecker Street - Bond No. 9,"""Genero: Unisex ; Usos recomendados: Diario / Casual / Oficina ; Familia: Fougère ; Subfamilia(s): Aromático gourmand ; Descripción: 🗽 Bleecker Street es verde–gourmand sofisticado: grosella y arándano con vainilla y pachulí sobre maderas limpias. ; Metadata: Aromática–gourmand con violeta, grosella/arándano, canela, base de vainilla, caramelo suave, musgo y maderas. Chic neoyorquino, versátil y de buena duración para día o noche. Palabras clave: bleecker street, bond no.9, violeta, vainilla, frutas, verde, gourmand, unisex, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU0QLJVP2Z6H.png
Bleu de Chanel - Chanel,"""Genero: Caballero ; Usos recomendados: Oficina / Noche / Diario ; Familia: Amaderada ; Subfamilia(s): Amaderado aromático ; Descripción: 💼 Bleu de Chanel es elegante, moderna y muy versátil. Ideal para oficina, salidas o citas, su aroma amaderado y cítrico nunca pasa desapercibido. ; Metadata: Fragancia amaderada aromática, con pomelo, incienso, jengibre y maderas nobles. Proyecta fuerza y refinamiento, perfecta para todo tipo de ocasión. Es un ícono del estilo masculino. Palabras clave: bleu de chanel, chanel, amaderado, cítrico, aromático, elegante, versátil, formal, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU1XETJID9YN.png
Blue Seduction - Antonio Banderas,"""Genero: Caballero ; Usos recomendados: Diario / Casual / Verano ; Familia: Acuática / Marina ; Subfamilia(s): Acuático aromático ; Descripción: 💦 Blue Seduction es fresca y luminosa, con acordes acuáticos y toques frutales. Ideal para climas cálidos y uso diario. ; Metadata: Fragancia acuática-aromática con melón, bergamota, menta y almizcle. Transmite limpieza y naturalidad, perfecta para verano, oficina o actividades al aire libre. Su aroma es juvenil y fácil de usar. Palabras clave: blue seduction, antonio banderas, acuático, frutal, fresco, verano, diario, ligero, masculino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU2VDCY17ADD.png
Boss Bottled - Hugo Boss,"""Genero: Caballero ; Usos recomendados: Oficina / Formal / Diario ; Familia: Amaderada ; Subfamilia(s): Amaderado especiado ; Descripción: 🍎 Boss Bottled es cálida y elegante, con manzana, canela y maderas suaves. Perfecta para el trabajo o salidas formales. ; Metadata: Perfume amaderado especiado, con manzana, vainilla, canela y sándalo. Representa éxito y equilibrio, ideal para uso diario u oficina. Su estela es sobria pero distinguida. Palabras clave: boss bottled, hugo boss, manzana, canela, vainilla, amaderado, elegante, oficina, diario, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU3HFQOV9DIZ.png
Can Can - Paris Hilton,"""Genero: Dama ; Usos recomendados: Casual / Diario / Verano ; Familia: Frutal ; Subfamilia(s): Floral frutal ; Descripción: 🎀 Can Can es dulce, coqueta y alegre. Con nectarina, flor de azahar y ámbar, combina energía y sensualidad. ; Metadata: Can Can es una fragancia floral–afrutada con nectarina, clementina, flor de azahar, ámbar y almizcle. Evoca feminidad divertida y romántica, ideal para día o noche. Palabras clave: can can, paris hilton, flor de azahar, ámbar, floral, frutal, dulce, coqueto, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU4DEGX9U4HR.png
Carolina Herrera (For Women) - Carolina Herrera,"""Genero: Dama ; Usos recomendados: Oficina / Formal / Diario ; Familia: Floral ; Subfamilia(s): Floral aldehídico ; Descripción: 🌸 Carolina Herrera for Women es elegante, floral y sofisticada. Con jazmín y nardo, refleja feminidad clásica y refinada. ; Metadata: Carolina Herrera for Women es una fragancia floral–blanca con jazmín, nardo, azahar, sándalo y ámbar. Evoca feminidad atemporal y elegancia natural, ideal para día o noche, oficina o eventos. Palabras clave: carolina herrera for women, jazmín, nardo, floral, elegante, clásico, sofisticado, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU518GYL4569.png
Chance - Chanel,"""Genero: Dama ; Usos recomendados: Diario / Oficina / Casual ; Familia: Chipre ; Subfamilia(s): Chipre floral ; Descripción: 🍀 Chance es fresca, femenina y elegante. Con jazmín, pimienta rosa y pachulí, ofrece un equilibrio entre energía y sofisticación. ; Metadata: Chance de Chanel es una fragancia floral–chipre moderna con jazmín, pimienta rosa, pachulí y almizcle. Transmite optimismo, alegría y elegancia moderna, ideal para día o noche, oficina o eventos sociales. Palabras clave: chance, chanel, jazmín, pimienta rosa, pachulí, floral, elegante, moderno, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU5KKBYPWKD1.png
Chanel No. 5 - Chanel,"""Genero: Dama ; Usos recomendados: Formal / Noche / Oficina ; Familia: Floral ; Subfamilia(s): Floral aldehídico ; Descripción: 🌹 Chanel No. 5 es el ícono de la elegancia. Con aldehídos, jazmín y sándalo, representa sofisticación pura y atemporal. ; Metadata: Chanel No. 5 es una fragancia floral–aldehídica con jazmín, rosa, ylang-ylang, vainilla, vetiver y sándalo. Representa feminidad clásica, lujo y distinción, ideal para noches, eventos o momentos especiales. Palabras clave: chanel no.5, jazmín, aldehídos, rosa, vainilla, floral, clásico, elegante, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU62NJJZ47IF.png
Cloud - Ariana Grande,"""Genero: Dama ; Usos recomendados: Diario / Casual / Citas ; Familia: Gourmand ; Subfamilia(s): Oriental gourmand ; Descripción: ☁️ Cloud es cremosa, reconfortante y sofisticada. Con lavanda, coco y praliné, es dulce pero elegante. ; Metadata: Cloud de Ariana Grande es una fragancia gourmand–almizclada con lavanda, pera, coco, praliné, vainilla y almizcle. Evoca ternura, calma y dulzura moderna, ideal para día o noche. Palabras clave: cloud, ariana grande, lavanda, coco, vainilla, dulce, gourmand, elegante, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU6N2Q1W1CNT.png
Club de Nuit Intense Man - Armaf,"""Genero: Caballero ; Usos recomendados: Noche / Oficina / Formal ; Familia: Chipre ; Subfamilia(s): Chipre amaderado ; Descripción: ⚜️ Club de Nuit Intense Man es intensa, ahumada y elegante. Con piña, limón y abedul, ofrece un aroma poderoso y sofisticado. ; Metadata: Club de Nuit Intense Man es una fragancia chipre–amaderada con limón, grosella negra, piña, jazmín, rosa y abedul sobre fondo de almizcle, ámbar gris y pachulí. Es una versión más oscura y duradera del estilo Aventus, ideal para noches, eventos o climas templados. Palabras clave: club de nuit intense man, armaf, piña, limón, abedul, ámbar gris, ahumado, elegante, intenso, masculino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU7NFC056DGO.png
Coconut Passion - Victoria’s Secret,"""Genero: Dama ; Usos recomendados: Verano / Diario / Casual ; Familia: Gourmand ; Subfamilia(s): Floral avainillado ; Descripción: 🥥 Coconut Passion es tropical, cremosa y adictiva. Con coco y vainilla, deja una sensación veraniega y acogedora. ; Metadata: Coconut Passion es un body splash gourmand–tropical con coco, vainilla y flores blancas. Evoca playa, frescura y dulzura cálida, ideal para día o verano. Palabras clave: coconut passion, victoria’s secret, coco, vainilla, tropical, dulce, cálido, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMU8JWQMY78NS.png
Emporio Armani Stronger With You Tobacco - Giorgio Armani,"""Genero: Caballero ; Usos recomendados: Noche / Invierno / Citas ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental especiado ; Descripción: 🍂 Stronger With You Tobacco es cálida, dulce y envolvente. Combina tabaco, vainilla y especias, creando un aroma elegante y adictivo para noches frías. ; Metadata: Stronger With You Tobacco es una fragancia oriental–especiada con tabaco tostado, vainilla cremosa, ámbar y cardamomo. Transmite sofisticación moderna y calidez masculina, ideal para citas, invierno o ambientes elegantes. Su fijación es intensa y su estela seductora. Palabras clave: stronger with you tobacco, giorgio armani, tabaco, vainilla, ámbar, cálido, dulce, elegante, noche, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMUB5SQ4RLJML.png
Erba Pura - Xerjoff,"""Genero: Unisex ; Usos recomendados: Fiesta / Verano / Diario ; Familia: Frutal ; Subfamilia(s): Frutal ámbar ; Descripción: 🍊 Erba Pura es cítrica–dulce y brillante: cóctel de frutas sobre almizcle y ámbar limpio. Festiva y muy duradera. ; Metadata: Frutal–almizclada ambarada con naranja/mandarina, limón, frutas exóticas, base almizcle blanco, vainilla y ámbar. ADN jugoso y radiante, proyección alta. Ideal para verano/noche y fiestas. Palabras clave: erba pura, xerjoff, cítrico, frutas, almizcle, vainilla, dulce, unisex, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMUESWV124PFY.png
Eros - Versace,"""Genero: Caballero ; Usos recomendados: Fiesta / Noche / Citas ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental fresco ; Descripción: 💘 Eros es sensual, potente y adictivo. Combina menta, manzana verde y vainilla, ideal para noches o citas. ; Metadata: Perfume oriental-fresco con menta, manzana verde, haba tonka y vainilla. Proyecta fuerza y pasión, ideal para fiestas o climas fríos. Su estela es intensa y duradera. Palabras clave: eros, versace, menta, vainilla, dulce, especiado, fiesta, noche, masculino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMUGIB0XGQALI.png
Eros Flame - Versace,"""Genero: Caballero ; Usos recomendados: Noche / Invierno / Citas ; Familia: Oriental / Ámbar ; Subfamilia(s): Oriental especiado ; Descripción: 🔥 Eros Flame es apasionada y vibrante. Con mandarina, pimienta y vainilla, combina fuerza, dulzura y elegancia. ; Metadata: Eros Flame es una fragancia oriental–especiada con mandarina, pimienta negra, tonka bean, vainilla y cedro. Transmite pasión y confianza, ideal para noche, citas o climas fríos, con proyección potente y aroma duradero. Palabras clave: eros flame, versace, vainilla, tonka, mandarina, cálido, especiado, intenso, masculino, DUVON""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMUFL5S4RGI5U.png
Eros Pour Femme - Versace,"""Genero: Dama ; Usos recomendados: Noche / Citas / Formal ; Familia: Floral ; Subfamilia(s): Floral cítrico ; Descripción: 💛 Eros Pour Femme es sensual, elegante y poderosa. Con limón, jazmín y almizcle, combina frescura y seducción. ; Metadata: Eros Pour Femme es una fragancia floral–cítrica con limón siciliano, jazmín, peonía, almizcle y sándalo. Evoca seguridad, energía y feminidad fuerte, ideal para día o noche. Palabras clave: eros pour femme, versace, limón, jazmín, cítrico, floral, elegante, moderno, femenino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMUHF6CMBJP0D.png
Fahrenheit - Dior,"""Genero: Caballero ; Usos recomendados: Noche / Invierno / Formal ; Familia: Fougère ; Subfamilia(s): Amaderado cuero ; Descripción: 🔥 Fahrenheit es icónica y audaz. Su mezcla de cuero, violeta y ámbar crea un aroma cálido y poderoso. ; Metadata: Fragancia amaderada-cuero con violeta, cuero, ámbar y almizcle. Proyecta carácter, intensidad y elegancia clásica, perfecta para noches frías o ambientes formales. Palabras clave: fahrenheit, dior, cuero, violeta, ámbar, intenso, clásico, masculino, DUVON.""",100 ml | 50 ml,119.9 | 74.9,1000 | 1000,https://memoriaback.iamhuble.space/n8nback/MKMUIOIAXI0001.png
